ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_0935600,0.1106296514448451,0.11256935816851114,0.08988055665538379,0.14738646359687774,0.19087740764411168,0.14885339750878815,0.1351784465162211
PF3D7_1361700,0.23525626542879605,0.11222329167043993,0.2524069952201423,0.18654440756649,0.0829159298994424,0.22960260683714304,0.15852265608912866
PF3D7_1149200,0.13874448373627268,0.18192551848817234,0.19657687799424686,0.1472369910404349,0.2392185928251989,0.12605524348718666,0.19123949508701327
PF3D7_0902500,0.2659049152308736,0.1511869614838502,0.14081003286833646,0.2731745189250257,0.3113760568029846,0.17337725179168384,0.21913689252004925
PF3D7_1439400,0.2425263612783831,0.11240769561651698,0.25822427128179176,0.1787847421957558,0.3276294642537613,0.2913058632531204,0.21926154333695647
PF3D7_0702100,0.28935416918462803,0.2708463545523285,0.20802053850241728,0.2047204272108961,0.20274038233688907,0.3040871303133336,0.22158192565063276
PF3D7_1430900,0.2565118611961479,0.2265441946369345,0.22478715502383026,0.2887497260217937,0.16002357592716518,0.15578436577778362,0.2250261629024309
PF3D7_1435300,0.200137367438299,0.19284664385717085,0.2824994150354773,0.22994810318655706,0.2475899844119304,0.2122122362147512,0.2382210366227839
PF3D7_1362000,0.23678585141454686,0.2544459128609645,0.21031627808262449,0.2815280921835055,0.23630560765639355,0.3387488755062356,0.24564897269587196
PF3D7_1339400,0.1819873509078852,0.2209563191146772,0.28022339614360936,0.12090972647226675,0.38665071882686425,0.430622142655892,0.2521850401393544
PF3D7_1132800,0.141908009688544,0.22155421583627988,0.2975316954914929,0.20464611043113198,0.3171690836071471,0.3506707478602703,0.260225276341513
PF3D7_0424600,0.20607677947357686,0.2719144433332002,0.21455442572429906,0.2317761019084352,0.33099415038680874,0.3141155954351489,0.2623097803381858
PF3D7_1110600,0.2910439678599731,0.3417895506852686,0.15071854006278707,0.2748856545867805,0.2875216262499106,0.2917447201881132,0.2637288428961867
PF3D7_0605900,0.1897435610105406,0.1646669654874599,0.253726327419018,0.2073008566537764,0.4365812181378648,0.3194015239611045,0.2655688419245298
PF3D7_0306500,0.2953528495607489,0.21436623408462915,0.20928222859604168,0.3798844440290236,0.2588061402341585,0.3329600422393001,0.26558476173596324
PF3D7_0918000,0.3767321698449465,0.3679590554200769,0.25219409630962875,0.25293331914406797,0.1958560144140991,0.2878936093838542,0.2672356213219682
PF3D7_0312400,0.22179265292391528,0.15953536879977434,0.2429699768303001,0.36578654232984864,0.3128969775645852,0.26634300848873504,0.2702972163811271
PF3D7_0105300,0.15737020420950895,0.2203749726159699,0.21723559176818047,0.3164916228133631,0.3278178321666912,0.2690736773892686,0.2704800048410512
PF3D7_0703600,0.3051020317122661,0.2698131415976901,0.24699784573900205,0.2945684131235252,0.28033984262327777,0.4279304300708886,0.2729298107708738
PF3D7_1019600,0.0968588367446173,0.2833527137124776,0.25787008892867314,0.2631247135841284,0.2958441965792019,0.3528783319373661,0.27504792820112023
PF3D7_1402200,0.20798409713698296,0.2428757898903973,0.2611345199832164,0.3816742774403165,0.2574553077607836,0.2582636119345531,0.2857849737686785
PF3D7_0613400,0.27961098373092963,0.21326485658984054,0.4346515362155189,0.15302943948428654,0.3435817642984644,0.41645816096958266,0.28613189914702764
PF3D7_0603800,0.18374511101142507,0.3634706116203104,0.20487659160943966,0.24241357660058385,0.3434819450456447,0.5020097256826481,0.28856068121899464
PF3D7_0303200,0.21035616139285632,0.2801367331020922,0.3058696483154692,0.2618647987484878,0.31804272525381033,0.2712180888802198,0.2914784763549649
PF3D7_1211700,0.3589140916029545,0.16422970987837882,0.32189866844342874,0.250858399628997,0.4334319428228272,0.28987962314833554,0.292604680193408
PF3D7_0624500,0.21308028473641152,0.32910159437370623,0.3011906602364428,0.2848375965198619,0.2617059739615543,0.17334882735385382,0.2942089562728913
PF3D7_0705400,0.2893757662007325,0.2141504502802808,0.2724017314421126,0.3474478021753481,0.3572791781955379,0.3741002673297497,0.29781979052331986
PF3D7_0802800,0.06572135912796831,0.3579668960393269,0.21395570344151316,0.3727960077243975,0.2478078363585857,0.4168589835044827,0.2981316108909558
PF3D7_0504600,0.24496039173024176,0.4174541840212096,0.3174056454706829,0.2496493555902792,0.22201147452292866,0.3950641870959263,0.3016301649012751
PF3D7_0311300,0.15290074733032374,0.2129468726603767,0.3807560938428541,0.21719588233580736,0.4025269743409474,0.3680566499035514,0.3033564557949964
PF3D7_0811000,0.23676998558219864,0.15873319168160205,0.4454601483942835,0.2482355544714631,0.3623119169556011,0.4536398938532353,0.3036852028757374
PF3D7_1451700,0.3595312721419517,0.12218733931314575,0.2991389620550185,0.30997534912073144,0.4836114182765213,0.39351653581274537,0.30372826719135426
PF3D7_1012300,0.2260967327201916,0.2794626296955841,0.3643858249576757,0.3198269993273341,0.2534247237129216,0.3829376926723925,0.3042750444233788
PF3D7_0113300,0.3362795062719804,0.22096746351902974,0.35752861316733825,0.31131065313458256,0.3309796811111997,0.3241348222818395,0.3051966027330376
PF3D7_1107100,0.2275184104557097,0.21945358893704864,0.3472723968077141,0.14121683409334532,0.5244134466287599,0.5430470284032278,0.308089066616717
PF3D7_1401400,0.2548407453639514,0.2491399602065475,0.25672475215162155,0.3449446370599241,0.3884966626583041,0.18827502633959226,0.3098265030190993
PF3D7_1216500,0.3079478511430597,0.19494083062833628,0.4710087137977861,0.2945421276208932,0.2801463516323863,0.480891073804023,0.3101595059198505
PF3D7_1125600,0.3788715721068188,0.1802117973339389,0.5269158510626799,0.34064538820651497,0.19371464940968755,0.468677967780253,0.31037192150320536
PF3D7_1136700.1,0.19431041811840385,0.13006221024243453,0.3734972869893281,0.23540128864516405,0.520224657150953,0.415370715908966,0.31479636075696993
PF3D7_1414400,0.2282420204186893,0.26024427221437146,0.4021487677872145,0.28161367260382864,0.3181701688381522,0.25091274371970823,0.3155442203608917
